iter	Accuracy	MultiClass
401	0.7897336953	0.5519182533
402	0.7897562819	0.5516438518
403	0.7898936627	0.5513320036
404	0.7899152297	0.5510776591
405	0.789882179	0.5508876298
406	0.7899492104	0.5507369909
407	0.7899159182	0.5505762632
408	0.7898593643	0.5502612321
409	0.7896292578	0.5500337283
410	0.7903031972	0.5497192482
411	0.7904607765	0.5491037197
412	0.7905795905	0.5490363908
413	0.7907868059	0.5486703475
414	0.7911614836	0.5483898419
415	0.7913986731	0.5480619344
416	0.7913707248	0.547741469
417	0.7914891003	0.5473684445
418	0.7917090471	0.5470845747
419	0.7918887393	0.5467907597
420	0.7917863589	0.5465347157
421	0.7917863589	0.5461849827
422	0.792104308	0.5459095275
423	0.792422311	0.5455411736
424	0.7925016797	0.5454806852
425	0.7924633748	0.5454333325
426	0.7923635435	0.5451460414
427	0.7925068804	0.5449489392
428	0.7926246748	0.5444721304
429	0.7925329463	0.544385683
430	0.7927824956	0.544085598
431	0.7930342093	0.5438773488
432	0.7930516491	0.5434609179
433	0.7930427724	0.5431913536
434	0.7931572621	0.5430806016
435	0.7933336497	0.5427275833
436	0.7932819878	0.5423860397
437	0.7934396878	0.5421270279
438	0.7934962551	0.5419146056
439	0.7936327504	0.5416731204
440	0.7938413433	0.5415056468
441	0.793677262	0.5414011968
442	0.7937235489	0.5411866333
443	0.7938617389	0.5407958954
444	0.7939196613	0.5406880833
445	0.7939969731	0.5406072919
446	0.7944712314	0.5400938605
447	0.7945170446	0.5397429285
448	0.7944832609	0.5394355275
449	0.7946090373	0.5392245495
450	0.7947853352	0.5389311643
451	0.7950837743	0.5387703203
452	0.795176697	0.5384429836
453	0.7951974414	0.5382559571
454	0.7957277622	0.53782033
455	0.7957731503	0.5377088582
456	0.7959939063	0.5375977711
457	0.7956725986	0.5373089023
458	0.7956808087	0.5372107294
459	0.7958862716	0.5366849269
460	0.7960120479	0.5365760747
461	0.7957364461	0.5362924186
462	0.7961513782	0.5360518475
463	0.7959087375	0.535899754
464	0.7960686152	0.5355736715
465	0.7960839084	0.5354577193
466	0.7961417101	0.5353207817
467	0.7963730642	0.5352042912
468	0.7964318855	0.5348254964
469	0.796789016	0.5346363265
470	0.7972943216	0.5340594093
471	0.7975237615	0.5335931314
472	0.7974959339	0.533363166
473	0.7975526086	0.533272368
474	0.7974910285	0.5330906417
475	0.797426953	0.5327989392
476	0.7975155514	0.5325889245
477	0.7976650414	0.5322672385
478	0.7978931982	0.532175212
479	0.7976494305	0.5320830796
480	0.7981313402	0.5316895947
481	0.7980764181	0.531492518
482	0.798290091	0.5313029073
483	0.7986029604	0.5310768574
484	0.7985380085	0.530973155
485	0.798692632	0.5307034734
486	0.7985748151	0.5305658885
487	0.7990915281	0.5303759053
488	0.7989986054	0.5302074567
489	0.7992009917	0.5297976421
490	0.7992229839	0.5295538058
491	0.798994827	0.5293935198
492	0.7992318825	0.5292446519
493	0.7991595969	0.5288308287
494	0.7990935717	0.5282984239
495	0.7993782959	0.5279989253
496	0.7995630678	0.5276079023
497	0.8000148425	0.5273282212
498	0.800094529	0.5270835768
499	0.8001850769	0.52697803
